Samar Alqrm International LLC (ATUR)	App - Logo & Brand Kits	  300.00 	  300.00 	  300.00 	  -   
Samar Alqrm International LLC (ATUR)	Preparation of Raw Inventory Data for Atur App	  612.50 	  612.50 	  612.50 	  -   
Samar Alqrm International LLC (ATUR)	Min Al Khaleej - Logo & Brand Kits	  348.00 	  348.00 	  348.00 	  -   
Samar Alqrm International LLC (ATUR)	Recruitment 1 IT & 1 Operation	  549.00 	  439.20 	  439.20 	  109.80 
Samar Alqrm International LLC (ATUR)	 Atur App Development Re-initiation cost 	  689.00 	  689.00 	  -   	  689.00 
Bidiya Burgers	Recruitment 1 Cook & 1 Helper	  280.00 	  224.00 	  224.00 	  56.00 
Al Qurum Perfume	Training Need Analysis & Customer Survey	  1,400.00 	  1,400.00 	  1,400.00 	  -   
Al Qurum Perfume	Marketing Managt. & Digi Maintenance - NOV'25	  510.00 	  510.00 	  510.00 	  -   
Al Qurum Perfume	Marketing Managt. & Digi Maintenance - DEC'25	  510.00 	  510.00 	  510.00 	  -   
Al Qurum Perfume	Marketing Managt. & Digi Maintenance - JAN'26	  510.00 	  510.00 	  510.00 	  -   
Al Qurum Perfume	Marketing Managt. & Digi Maintenance - FEB'26	  510.00 	  510.00 	  510.00 	  -   
Al Qurum Perfume	Marketing Managt. & Digi Maintenance - MAR'26	  510.00 	  510.00 		  510.00 
Al Qurum Perfume	Marketing Managt. & Digi Maintenance - APR'26	  510.00 	  510.00 		  510.00 
Al Qurum Perfume	AQP Training & Development - NOV'25	  300.00 	  300.00 	  300.00 	  -   
Al Qurum Perfume	AQP Training & Development - DEC'25	  300.00 	  300.00 	  300.00 	  -   
Al Qurum Perfume	AQP Training & Development - JAN'26	  300.00 	  300.00 	  300.00 	  -   
Al Qurum Perfume	AQP Training & Development - FEB'26	  300.00 	  300.00 	  300.00 	  -   
Al Qurum Perfume	AQP Training & Development - MAR'26	  300.00 	  300.00 		  300.00 
Al Qurum Perfume	AQP Training & Development - APR'26	  300.00 	  300.00 		  300.00 
Al Qurum Perfume	AQP HR Policy & Attandance Framework	  425.00 	  425.00 	  425.00 	  -   
Al Qurum Perfume	Website Development	  120.00 	  120.00 	  120.00 	  -   
Al Qurum Perfume	Branding Kits for Digital Marketing	  249.00 	  249.00 	  249.00 	  -   
Al Qurum Perfume	AQP Direct Cost for Marketing - Digital Production	  500.00 	  500.00 	  500.00 	  -   
Al Qurum Perfume	AQP Direct Cost for Marketing - FEB	  253.00 	  253.00 	  253.00 	  -   
Al Qurum Perfume	AQP Direct Cost for Marketing - Santa Décor	  620.00 	  620.00 	  620.00 	  -   
Al Qurum Perfume	CRM Solutions and WhatsApp Business Solutions 	  265.00 	  212.00 	  292.00 	  (27.00)
Bidiya Burgers	Recruitment 1 Helper	  139.00 	  139.00 	  112.00 	  27.00 
Exclusive Business Projects	Internal Audit and Monitoring	  139.00 	  139.00 	  100.00 	  39.00 
Tamimah Telecom	Business Development Fee for IT Related Products.	OMR 645.000	  645.00 	  645.00 	  -   
Taameer Insvestment SAOC	Property Management & HR Solutions (ERP)	OMR 2,310.000	  2,310.00 	  1,386.00 	  924.00 
Laila's Exceptional Projects	POS Monthly Subscription fee for Apr to Jun, 2026.	OMR 135.000	  135.00 		  135.00 
Tamimah Telecom	Business Development Fee for IT Related Products.	OMR 650.000	  650.00 	  650.00 	  -
